Epoch [34/50] Step 0 | Loss W: 0.2318 | Loss A: 0.8134
Epoch [34/50] Step 100 | Loss W: 0.0889 | Loss A: 0.2786
Epoch [34/50] Step 200 | Loss W: 0.1901 | Loss A: 1.0240
Epoch [34/50] Step 300 | Loss W: 0.0657 | Loss A: 0.2829
Epoch [34/50] Step 400 | Loss W: 0.1034 | Loss A: 0.5621
Epoch [34/50] Step 500 | Loss W: 0.1930 | Loss A: 0.5182
Epoch [34/50] Step 600 | Loss W: 0.0585 | Loss A: 0.6358
Epoch [34/50] Step 700 | Loss W: 0.0593 | Loss A: 0.4239
Epoch [35/50] Step 0 | Loss W: 0.0716 | Loss A: 0.4306
Epoch [35/50] Step 100 | Loss W: 0.1329 | Loss A: 0.4017
Epoch [35/50] Step 200 | Loss W: 0.0777 | Loss A: 0.6944
Epoch [35/50] Step 300 | Loss W: 0.1305 | Loss A: 0.8345
Epoch [35/50] Step 400 | Loss W: 0.1985 | Loss A: 0.6212
Epoch [35/50] Step 500 | Loss W: 0.0539 | Loss A: 0.7682
Epoch [35/50] Step 600 | Loss W: 0.0863 | Loss A: 0.6896
Epoch [35/50] Step 700 | Loss W: 0.1394 | Loss A: 0.8001
Epoch [36/50] Step 0 | Loss W: 0.1055 | Loss A: 0.3941
Epoch [36/50] Step 100 | Loss W: 0.1841 | Loss A: 0.9535
Epoch [36/50] Step 200 | Loss W: 0.1218 | Loss A: 0.6460
Epoch [36/50] Step 300 | Loss W: 0.0660 | Loss A: 0.4857
Epoch [36/50] Step 400 | Loss W: 0.1095 | Loss A: 0.6725
Epoch [36/50] Step 500 | Loss W: 0.1123 | Loss A: 0.5635
Epoch [36/50] Step 600 | Loss W: 0.1476 | Loss A: 0.2073
Epoch [36/50] Step 700 | Loss W: 0.1410 | Loss A: 0.4342
Epoch [37/50] Step 0 | Loss W: 0.1323 | Loss A: 0.8062
Epoch [37/50] Step 100 | Loss W: 0.1586 | Loss A: 0.2269
Epoch [37/50] Step 200 | Loss W: 0.0739 | Loss A: 0.7872
Epoch [37/50] Step 300 | Loss W: 0.1083 | Loss A: 0.6208
Epoch [37/50] Step 400 | Loss W: 0.0882 | Loss A: 0.5619
Epoch [37/50] Step 500 | Loss W: 0.0927 | Loss A: 0.2957
Epoch [37/50] Step 600 | Loss W: 0.1602 | Loss A: 0.7969
Epoch [37/50] Step 700 | Loss W: 0.2812 | Loss A: 0.5315
Epoch [38/50] Step 0 | Loss W: 0.0892 | Loss A: 1.1800
Epoch [38/50] Step 100 | Loss W: 0.0797 | Loss A: 0.7340
Epoch [38/50] Step 200 | Loss W: 0.1167 | Loss A: 0.3567
Epoch [38/50] Step 300 | Loss W: 0.1539 | Loss A: 0.9194
Epoch [38/50] Step 400 | Loss W: 0.2052 | Loss A: 0.7679
Epoch [38/50] Step 500 | Loss W: 0.1611 | Loss A: 1.3465
Epoch [38/50] Step 600 | Loss W: 0.1041 | Loss A: 0.6611
Epoch [38/50] Step 700 | Loss W: 0.2884 | Loss A: 0.6802
Epoch [39/50] Step 0 | Loss W: 0.1124 | Loss A: 0.6330
Epoch [39/50] Step 100 | Loss W: 0.2466 | Loss A: 0.4846
Epoch [39/50] Step 200 | Loss W: 0.1586 | Loss A: 0.2967
Epoch [39/50] Step 300 | Loss W: 0.1078 | Loss A: 0.7147
Epoch [39/50] Step 400 | Loss W: 0.1862 | Loss A: 0.6792
Epoch [39/50] Step 500 | Loss W: 0.1501 | Loss A: 0.5791
Epoch [39/50] Step 600 | Loss W: 0.0881 | Loss A: 0.5069
Epoch [39/50] Step 700 | Loss W: 0.1496 | Loss A: 0.0979
Epoch [40/50] Step 0 | Loss W: 0.1305 | Loss A: 0.1192
Epoch [40/50] Step 100 | Loss W: 0.0716 | Loss A: 1.0810
Epoch [40/50] Step 200 | Loss W: 0.1002 | Loss A: 0.4551
Epoch [40/50] Step 300 | Loss W: 0.0675 | Loss A: 0.4134
Epoch [40/50] Step 400 | Loss W: 0.2009 | Loss A: 0.4290
Epoch [40/50] Step 500 | Loss W: 0.1206 | Loss A: 0.8201
Epoch [40/50] Step 600 | Loss W: 0.0927 | Loss A: 0.4778
Epoch [40/50] Step 700 | Loss W: 0.1900 | Loss A: 0.5203
Epoch [41/50] Step 0 | Loss W: 0.0916 | Loss A: 0.3443
Epoch [41/50] Step 100 | Loss W: 0.0800 | Loss A: 0.2698
Epoch [41/50] Step 200 | Loss W: 0.0891 | Loss A: 0.9012
Epoch [41/50] Step 300 | Loss W: 0.0951 | Loss A: 0.9876
Epoch [41/50] Step 400 | Loss W: 0.1195 | Loss A: 0.4865
Epoch [41/50] Step 500 | Loss W: 0.0922 | Loss A: 0.5887
Epoch [41/50] Step 600 | Loss W: 0.1834 | Loss A: 0.3469
Epoch [41/50] Step 700 | Loss W: 0.1297 | Loss A: 0.2880
Epoch [42/50] Step 0 | Loss W: 0.1787 | Loss A: 0.1960
Epoch [42/50] Step 100 | Loss W: 0.0723 | Loss A: 0.3162
Epoch [42/50] Step 200 | Loss W: 0.1288 | Loss A: 0.2654
Epoch [42/50] Step 300 | Loss W: 0.0959 | Loss A: 0.6516
Epoch [42/50] Step 400 | Loss W: 0.1279 | Loss A: 0.2327
Epoch [42/50] Step 500 | Loss W: 0.2079 | Loss A: 0.7509
Epoch [42/50] Step 600 | Loss W: 0.1633 | Loss A: 0.5468
Epoch [42/50] Step 700 | Loss W: 0.1451 | Loss A: 0.3206
